product_id,product_code,product_name,issuer,risk_level,product_type,currency,investment_period,min_investment,start_date,end_date,product_category,income_type,nav_date,initial_nav,accumulated_nav,current_nav
144271,C1010207000003,基金股票双重精选人民币理财产品2007年第1期,中国工商银行股份有限公司,一级(低),N/A,人民币(CNY),7天-1个月(含),100000,2007/12/20,9999/12/31,03,03,2025-05-16,1.0,1.0,1.0
144270,C1010207000004,基金股票双重精选人民币理财产品2007年第2期,中国工商银行股份有限公司,一级(低),N/A,人民币(CNY),7天-1个月(含),100000,2008/01/18,9999/12/31,03,03,2025-05-16,1.0,0.9827,0.9827
787951,C1050415000080,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元-人民币）,恒生银行（中国）有限公司,二级(中低),固定收益类,人民币(CNY),每日,100000,2015/03/23,2999/12/31,03,03,2025-05-16,11.35,9.74,9.74
787952,C1050415000081,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元）,恒生银行（中国）有限公司,二级(中低),固定收益类,美元(USD),每日,20000,2015/03/23,2999/12/31,03,03,2025-05-16,11.35,9.74,9.74
1897810,C1080919000244,红玫瑰添元理财产品第1期,盛京银行股份有限公司,二级(中低),N/A,人民币(CNY),每日,50000,2019/04/25,2099/12/31,03,03,2025-05-16,1.0,1.21487,1.21487
1000052045,C1091325000045,金雪莲系列封闭式净值型理财产品2025年第28期代发工资客户专享,乌鲁木齐银行股份有限公司,二级(中低),固定收益类,人民币(CNY),3-6个月(含),10000,2025/05/22,2025/11/21,01,03,,,,
1798373,C1091918000365,云南红塔银行“红塔财富”筑梦系列天天复盈开放式净值型人民币理财产品,云南红塔银行股份有限公司,一级(低),N/A,人民币(CNY),每日,10000,2018/12/12,2099/12/31,03,03,2025-05-16,1.0,1.0,1.0
1733623,C1092918000191,天添向上2号,浙江泰隆商业银行股份有限公司,二级(中低),N/A,人民币(CNY),每日,50000,2018/08/30,2050/12/30,03,03,2025-05-16,1.0,1.20095,1.07278
1733832,C1092918000192,人生盈家35天型,浙江泰隆商业银行股份有限公司,二级(中低),N/A,人民币(CNY),每日,50000,2018/08/30,2099/12/31,03,03,2025-05-16,1.0,1.23003,1.23003
1000049359,C1122125000064,上海农商银行鑫安利封闭式25051期（乡村振兴特别款）人民币理财产品,上海农村商业银行股份有限公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),10000,2025/05/21,2025/09/17,01,03,,,,
1000051020,C1131225000006,金米嘉富最短持有30天,广州农村商业银行股份有限公司,二级(中低),固定收益类,人民币(CNY),每日,10000,2025/05/22,2099/12/31,03,03,,,,
1055151,C1136016000054,2016年“融智理财·天天添利净值型”人民币理财产品,湖南银行股份有限公司,二级(中低),N/A,人民币(CNY),每日,10000,2016/06/01,2099/12/31,03,03,2025-05-16,1.0,1.0,1.0
1337256,C3042717000006,厦门农商银行-丰沃2号债券投资理财计划,厦门农村商业银行股份有限公司,二级(中低),N/A,人民币(CNY),6-12个月(含),50000,2017/07/20,2099/12/31,03,03,2025-05-16,100.0,1.0377,1.0377
1000042054,Z7000725000216,建信理财嘉鑫（稳利）固收类封闭式产品2025年第167期,建信理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/20,2025/11/13,01,03,,,,
1000042061,Z7000725000223,建信理财嘉鑫（稳利）固收类封闭式产品2025年第166期,建信理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/20,2025/08/20,01,03,,,,
1000042062,Z7000725000224,建信理财嘉鑫（稳利）固收类封闭式产品2025年第170期,建信理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2026/01/08,01,03,,,,
1000048637,Z7000725000340,建信理财海嘉固收类封闭式美元产品2025年第48期,建信理财有限责任公司,一级(低),固定收益类,美元(USD),3-6个月(含),1,2025/05/22,2025/11/19,01,03,,,,
1000042294,Z7000825000517,工银理财·稳益同业存单及存款固定收益类(QDII)封闭式理财产品(25GS8701),工银理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2026/05/12,01,03,,,,
1000051202,Z7000825000729,工银理财·稳益固定收益类封闭式理财产品（25GS2794）,工银理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/22,2025/09/24,01,03,,,,
1000040172,Z7000925000306,交银理财稳享智选日开14号（90天持有期）理财产品,交银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/20,2099/12/30,03,03,,,,
1000048666,Z7000925000567,交银理财稳享慧选日开6号（90天持有期）理财产品,交银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/20,2099/12/30,03,03,,,,
1000049723,Z7000925000593,交银理财稳享美元1年封闭式2511理财产品,交银理财有限责任公司,一级(低),固定收益类,美元(USD),6-12个月(含),1,2025/05/21,2026/05/18,01,03,,,,
1000049730,Z7000925000600,交银理财稳享美元6个月封闭式2523理财产品,交银理财有限责任公司,一级(低),固定收益类,美元(USD),3-6个月(含),1,2025/05/21,2025/11/18,01,03,,,,
1000039711,Z7001025000274,中银理财全球配置高评级美元封闭2545,中银理财有限责任公司,一级(低),固定收益类,美元(USD),3-6个月(含),1,2025/05/20,2025/10/21,01,03,,,,
1000048064,Z7001025000572,中银理财全球配置高评级美元封闭2548,中银理财有限责任公司,一级(低),固定收益类,美元(USD),3-6个月(含),1,2025/05/20,2025/08/21,01,03,,,,
1000047454,Z7001125000267,农银理财农银安心·灵珑同业存单及存款增强第282期理财产品,农银理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/23,2025/08/27,01,03,,,,
1000049766,Z7001125000332,农银理财农银安心·灵珑同业存单及存款增强第285期理财产品,农银理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2025/12/02,01,03,,,,
1000050034,Z7001125000346,农银理财农银匠心·灵动30天同业存单及存款增强理财产品（致敬军人）,农银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/19,2035/05/18,03,03,,,,
1000051484,Z7001125000398,农银理财农银进取·灵动360天双债增强理财产品,农银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/26,2035/05/28,03,03,,,,
1000051485,Z7001125000399,农银理财农银安心·天天利理财产品（货币优选）,农银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/26,2035/05/28,03,03,,,,
1000051492,Z7001125000405,农银理财农银匠心·灵动360天理财产品（红利成长双享）,农银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/26,2035/05/28,03,03,,,,
1000051493,Z7001125000406,农银理财农银进取·天天利同业存单及存款增强理财产品（低波悦享）,农银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/26,2035/05/28,03,03,,,,
1000024632,Z7001424001025,阳光金添利天天购-存单存款利率债策略2号（30天最低持有）,光大理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/20,2099/12/31,03,03,,,,
1000024634,Z7001424001027,阳光金添利天天购-存单存款利率债策略3号（60天最低持有）,光大理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/20,2099/12/31,03,03,,,,
1000024635,Z7001424001028,阳光金添利天天购-存单存款利率债策略2号（14天最低持有）,光大理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/20,2099/12/31,03,03,,,,
1000027840,Z7001424001232,阳光金安心计划-存单存款策略88期（封闭式）,光大理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/22,2025/11/19,01,03,,,,
