id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
3,144271,C1010207000003,基金股票双重精选人民币理财产品2007年第1期,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 15:56:39.134805,2025-05-16 15:56:39.134808
1,144270,C1010207000004,基金股票双重精选人民币理财产品2007年第2期,2025-05-16,1.0,0.9827,0.9827,0,,,2025-05-16 15:56:39.132962,2025-05-16 15:56:39.132965
8,787951,C1050415000080,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元-人民币）,2025-05-16,11.35,9.73,9.73,1,2025-05-16,,2025-05-16 15:56:39.138433,2025-05-16 18:10:05.632756
6,787952,C1050415000081,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元）,2025-05-16,11.35,9.73,9.73,1,2025-05-16,,2025-05-16 15:56:39.137077,2025-05-16 18:10:05.631154
4,1897810,C1080919000244,红玫瑰添元理财产品第1期,2025-05-16,1.0,1.21487,1.21487,0,,,2025-05-16 15:56:39.135692,2025-05-16 15:56:39.135694
2,1798373,C1091918000365,云南红塔银行“红塔财富”筑梦系列天天复盈开放式净值型人民币理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 15:56:39.134080,2025-05-16 15:56:39.134082
9,1733623,C1092918000191,天添向上2号,2025-05-16,1.0,1.201,1.07283,1,2025-05-16,,2025-05-16 15:56:39.139478,2025-05-16 18:10:05.633507
5,1733832,C1092918000192,人生盈家35天型,2025-05-16,1.0,1.23009,1.23009,1,2025-05-16,,2025-05-16 15:56:39.136387,2025-05-16 18:10:05.629430
109,1000042537,C1131225000004,金米稳富7天定开（存款存单策略）,2025-05-16,1.0,1.00341,1.00341,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.713161,2025-05-16 18:10:05.713164
10,1055151,C1136016000054,2016年“融智理财·天天添利净值型”人民币理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 15:56:39.140353,2025-05-16 15:56:39.140356
