id,product_id,product_code,product_name,issuer,issuer_code,risk_level,risk_level_code,product_type,product_type_code,currency,investment_period,min_investment,sale_status,sale_regions,start_date,end_date,product_category,income_type,sale_method,crawl_time,created_at,updated_at
3,144271,C1010207000003,基金股票双重精选人民币理财产品2007年第1期,中国工商银行股份有限公司,C10102,一级(低),01,N/A,NA,人民币(CNY),7天-1个月(含),100000,09,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,台湾,香港,澳门,大连市,宁波市,厦门市,青岛市,深圳市",2007/12/20,9999/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.045983,2025-05-16 18:43:20.152341
1,144270,C1010207000004,基金股票双重精选人民币理财产品2007年第2期,中国工商银行股份有限公司,C10102,一级(低),01,N/A,NA,人民币(CNY),7天-1个月(含),100000,09,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,台湾,香港,澳门,大连市,宁波市,厦门市,青岛市,深圳市",2008/01/18,9999/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.043279,2025-05-16 18:43:20.149722
8,787951,C1050415000080,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元-人民币）,恒生银行（中国）有限公司,C10504,二级(中低),02,固定收益类,01,人民币(CNY),每日,100000,09,"北京市,上海市,浙江省,福建省,广东省,深圳市",2015/03/23,2999/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.050548,2025-05-16 18:43:20.157082
6,787952,C1050415000081,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元）,恒生银行（中国）有限公司,C10504,二级(中低),02,固定收益类,01,美元(USD),每日,20000,09,"北京市,上海市,浙江省,福建省,广东省,深圳市",2015/03/23,2999/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.048728,2025-05-16 18:43:20.155190
205,1000025879,C1079625000002,“熊猫理财”润利系列D计划理财产品504期子产品,四川天府银行股份有限公司,C10796,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"四川省,贵州省",2025/05/20,2026/08/05,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.340300,2025-05-16 18:43:20.307016
192,1000043501,C1080325000237,2025港湾财富184期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/20,2026/05/21,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.330913,2025-05-16 18:43:20.298256
426,1000043538,C1080325000270,2025港湾财富181期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/20,2025/08/21,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.495440,2025-05-16 18:43:20.465195
191,1000043539,C1080325000271,2025港湾财富185期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/20,2026/05/21,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.330095,2025-05-16 18:43:20.297590
425,1000043540,C1080325000272,2025港湾财富189期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/20,2027/05/20,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.494762,2025-05-16 18:43:20.464531
165,1000043590,C1080325000317,2025涵屿财富127期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/21,2025/11/20,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.311678,2025-05-16 18:43:20.279920
398,1000043648,C1080325000368,2025涵屿财富128期,天津银行股份有限公司,C10803,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"北京市,天津市,河北省,上海市,山东省,四川省",2025/05/21,2025/11/20,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.475793,2025-05-16 18:43:20.444553
4,1897810,C1080919000244,红玫瑰添元理财产品第1期,盛京银行股份有限公司,C10809,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"北京市,天津市,辽宁省,吉林省,上海市,大连市",2019/04/25,2099/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.046898,2025-05-16 18:43:20.153294
